address,allocation
0x20e88836740f5296a14921df8c2128b5ab829015,2177
0x2106d22279dd20afdfbc7cc1e393aaf5f023370a,75
0x2107977fc2862c5620d9668896f72276b6eb651e,3
0x210f168745fe7744bbd764b983b4f41c73a7fcba,9143
0x212387b11c68d3364cd26f3ea87bd6e407b6b879,1
0x212c9d1c862257186e5f11aa767361e609d4c2f3,5500
0x21331f716841408899ad7789fe043c11ce79b4d4,337
0x21370131cfd93738d9715a6beb2812ad23583de1,5906
0x2142fba26af8cfffb8598e4185116d76145d8384,549
0x214a22d21c03af095f6e3691e8bfa5df650babdf,2099
0x214aa3d5a83a1d324bbb5e8b71ebc7b42935e8ad,1999
0x2158dbaa4ced37a1e9b8ae16c03e701d7405eff8,40440
0x2159d6ab53588fc4a8cc9e8eac33764038343f40,235500
0x215b66a53b8275b127ce9fb2b2fedccfb0cf4e6e,3468
0x218f28b2b9ed0192755e57642ef1e3eb9c51d559,4525
0x219b77889831f84b68272b3aa204beca43f4cab9,262500
0x21d4980193f76698cf542949908c8a5eebc7505d,8180
0x22374fb699746ceb8888750d1bb502d24c2444f0,14005
0x22437cbc090975f5b6e062fd5f8e0ecb50e86580,798
0x225288f11535d7bfc2c60a5561702473b55d1c9b,14802
0x2268751eafc860781074d25f4bd10ded480310b9,1036
0x2290db4560fc5498c6749a7249c389bbcc388fbc,72425
0x2297a2461be8ba1947fddb0f982a9c99f1c22de0,61506
0x229c5620230026a87392d086a2174debb88642f7,976
0x22a57c82b0dc3a99b75e5f6c468934626307e7f3,1680
0x22c546d2d7cc246dac65f1b1f79390f6b71386c1,7
0x22cacff641e5a7450a6a00bb2e93d3b92170f26f,59772
0x23117127dc388c78a63726e783e1ea924f43f2d9,2000
0x231526f8d251f610f7f74e5f6f80f0ca891933e8,1560
0x236b51641779036caa134e8ddce110505e039b46,16
0x23939dfaffd1c264df1a68fb0239dafbd28976d8,71000
0x23a8e8b9dbc00289e751bf491326aeb333f9e8e2,1110
